Suburb,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Direction,FloorCount,WalkScore,SchoolNearby,HospitalNearby,PublicTransport,PropertyCondition,HeatingType,GarageType,RenovatedYear
Northcote,6,h,,SA,Marshall,7/5/2017,8.4,3071,3.0,2.0,3.0,,,1988.0,Moonee Valley,-37.6072,145.1501,Northern Metropolitan,27938,N,,,Yes,Yes,Yes,,Electric,Double,1997.0
Brunswick,6,u,1623713.0,SA,Nelson,7/5/2017,22.2,3115,4.0,,,1594.8,250.1,2009.0,,-37.7188,144.7375,Southern Metropolitan,7463,S,1.0,78.0,Yes,Yes,Yes,,,Double,1996.0
Fitzroy,5,h,1411328.0,SP,Biggin,7/5/2017,34.5,3120,6.0,4.0,2.0,1355.4,324.3,,Boroondara,,,Northern Metropolitan,21048,SE,3.0,,No,No,,,Gas,Carport,
Preston,5,h,478584.0,SP,hockingstuart,4/2/2017,31.1,3046,4.0,3.0,,1642.0,,1968.0,Yarra,-37.6991,144.7139,Northern Metropolitan,2741,W,4.0,83.0,Yes,No,Yes,Good,Electric,Double,
Preston,2,h,2480038.0,VB,Barry,4/2/2017,33.6,3089,1.0,2.0,,1415.4,200.8,1883.0,Moonee Valley,-37.6676,144.9813,Eastern Metropolitan,27420,NE,,65.0,,Yes,No,,,,
St Kilda,3,t,1377113.0,S,Biggin,1/9/2018,13.3,3039,6.0,1.0,,1533.5,590.3,,Darebin,-37.9143,144.9775,Eastern Metropolitan,14373,NE,,94.0,No,No,Yes,Excellent,,,
Malvern,5,h,1970444.0,SP,hockingstuart,4/2/2017,5.5,3041,2.0,4.0,,650.2,,,Moonee Valley,-37.5693,145.0195,Northern Metropolitan,1056,SE,2.0,70.0,Yes,Yes,Yes,Good,,Double,2005.0
Richmond,1,t,335166.0,PI,Biggin,4/2/2017,8.2,3178,3.0,2.0,5.0,2716.0,,2005.0,,-37.6988,144.7148,Eastern Metropolitan,12039,SE,3.0,79.0,Yes,Yes,Yes,Average,Solar,,2007.0
Essendon,5,h,2723006.0,S,Biggin,4/2/2017,18.5,3034,2.0,3.0,4.0,,94.3,,Yarra,-37.7419,144.9653,Southern Metropolitan,18539,SW,2.0,78.0,No,Yes,Yes,Good,None,None,2011.0
South Yarra,2,h,2655631.0,PI,Marshall,4/2/2017,28.2,3040,3.0,3.0,3.0,2058.9,,,Darebin,-37.795,,South-Eastern Metropolitan,17850,,3.0,76.0,Yes,Yes,No,Excellent,Electric,Double,
St Kilda,6,u,1114285.0,SA,Nelson,3/12/2016,7.0,3084,2.0,4.0,2.0,,313.1,1903.0,Moonee Valley,-37.9192,144.778,Southern Metropolitan,8983,,1.0,39.0,,,Yes,Excellent,Gas,Carport,2001.0
Preston,2,t,547883.0,S,Barry,1/9/2018,23.8,3123,1.0,4.0,2.0,,,1903.0,Darebin,-37.8967,144.8077,Eastern Metropolitan,22715,SW,,73.0,No,,No,,,None,
Hawthorn,6,h,,VB,hockingstuart,4/2/2017,12.7,3056,5.0,1.0,4.0,289.4,469.9,1896.0,Moonee Valley,-37.9453,145.0066,Western Metropolitan,29774,S,4.0,73.0,No,No,No,Average,,Carport,
Collingwood,6,t,413052.0,SA,Biggin,1/9/2018,13.3,3037,6.0,2.0,2.0,,,1866.0,,-37.5505,144.895,Northern Metropolitan,29497,NW,,,Yes,,Yes,Poor,None,Carport,
Brunswick,3,t,1006079.0,SA,Barry,18/6/2016,23.8,3199,,1.0,4.0,,,1883.0,,-37.6355,144.7427,Eastern Metropolitan,26251,W,2.0,93.0,No,Yes,Yes,,None,,
South Yarra,5,u,2170024.0,PI,Biggin,3/12/2016,17.4,3095,1.0,1.0,0.0,1756.4,,,Moonee Valley,-37.631,144.8445,Eastern Metropolitan,1175,N,,49.0,No,No,No,Excellent,,,
St Kilda,1,u,1693401.0,SA,Nelson,4/2/2017,,3135,4.0,3.0,3.0,223.5,,,Moreland,-37.658,144.7383,Eastern Metropolitan,13944,NW,,83.0,Yes,No,Yes,Average,Solar,,1992.0
Brunswick,1,u,2413405.0,SP,Barry,3/12/2016,7.1,3201,4.0,2.0,4.0,,,,Moreland,-37.7564,145.0321,Southern Metropolitan,20167,N,1.0,70.0,,No,No,Excellent,,None,
Collingwood,4,u,2825849.0,S,hockingstuart,3/12/2016,28.1,3062,2.0,1.0,3.0,,,1931.0,,-37.9147,144.9787,Northern Metropolitan,6535,E,3.0,59.0,Yes,No,,Average,Solar,Double,
Moonee Ponds,6,u,,SP,Biggin,18/6/2016,4.1,3086,4.0,3.0,0.0,,263.7,1919.0,Port Phillip,-37.9211,144.9038,South-Eastern Metropolitan,17064,N,4.0,70.0,Yes,No,Yes,Excellent,,,
Collingwood,1,u,2508233.0,PI,Nelson,1/9/2018,8.4,3131,5.0,4.0,3.0,868.7,507.9,1904.0,Darebin,-37.5835,145.1638,Eastern Metropolitan,17244,SE,2.0,37.0,Yes,,Yes,Average,Solar,Double,1999.0
Malvern,3,u,2982406.0,PI,Barry,3/12/2016,23.7,3175,3.0,1.0,4.0,2749.3,586.6,,Boroondara,-37.9499,144.9594,Western Metropolitan,19355,W,4.0,,No,No,No,Average,None,Double,2010.0
Collingwood,6,u,1436430.0,S,Biggin,7/5/2017,30.2,3051,2.0,4.0,,1381.4,,1975.0,,-37.6704,145.1438,Northern Metropolitan,25685,SW,,61.0,,,Yes,Poor,Electric,,2009.0
Brunswick,3,h,2970792.0,SA,Biggin,18/6/2016,10.3,3037,3.0,2.0,3.0,,,,Moreland,-37.6986,144.9895,South-Eastern Metropolitan,14959,W,1.0,69.0,No,No,Yes,Poor,Electric,None,2004.0
Reservoir,1,t,2766301.0,VB,hockingstuart,7/5/2017,12.8,3086,3.0,1.0,3.0,932.3,,,Darebin,-37.7495,144.8884,Western Metropolitan,23205,,1.0,91.0,Yes,No,Yes,Poor,Electric,,
Brunswick,1,u,2162162.0,PI,Nelson,18/6/2016,19.7,3004,1.0,4.0,5.0,1192.7,45.3,1889.0,Boroondara,-37.56,144.9695,South-Eastern Metropolitan,25405,NE,2.0,56.0,,Yes,No,,Gas,None,
Essendon,4,u,2979737.0,S,Marshall,7/5/2017,9.0,3212,4.0,,,2844.0,,1886.0,Boroondara,-37.8707,144.7759,South-Eastern Metropolitan,23990,S,1.0,68.0,No,No,Yes,Average,None,,
Richmond,1,t,,VB,Biggin,7/5/2017,28.8,3119,6.0,2.0,,643.9,500.1,,Darebin,-37.6359,145.0374,Northern Metropolitan,26325,S,4.0,,Yes,Yes,No,,Solar,None,
Coburg,6,h,2909786.0,SA,Barry,3/12/2016,27.5,3069,3.0,,1.0,1756.6,,1942.0,Moonee Valley,-37.6801,145.1911,Southern Metropolitan,4758,N,1.0,95.0,Yes,No,Yes,Poor,,Carport,
Reservoir,6,t,1410714.0,PI,hockingstuart,3/12/2016,6.8,3112,,,2.0,,480.2,1957.0,Moreland,-37.5602,144.8237,Western Metropolitan,18739,S,2.0,42.0,Yes,Yes,No,Good,,Carport,2001.0
Fitzroy,6,t,562916.0,S,hockingstuart,18/6/2016,17.3,3208,5.0,1.0,,2333.8,,,Port Phillip,-37.5764,144.8616,Eastern Metropolitan,9504,SE,3.0,,No,No,Yes,,Gas,Double,2006.0
Coburg,4,u,290149.0,S,Biggin,1/9/2018,27.6,3216,6.0,4.0,,,,1938.0,,-37.8986,144.903,South-Eastern Metropolitan,992,E,1.0,97.0,No,Yes,,Poor,Solar,Carport,2001.0
Richmond,4,t,598844.0,S,Biggin,3/12/2016,13.1,3023,4.0,3.0,4.0,,189.3,1997.0,Moonee Valley,-37.8269,144.9417,Western Metropolitan,18713,S,1.0,39.0,No,Yes,Yes,Excellent,Gas,None,
St Kilda,1,t,378447.0,PI,Biggin,3/12/2016,22.9,3085,4.0,1.0,4.0,2111.9,527.9,,Moonee Valley,-37.6097,145.0596,Northern Metropolitan,23905,NW,4.0,87.0,No,Yes,No,,Gas,Single,1997.0
South Yarra,2,u,2808845.0,VB,Marshall,4/2/2017,3.7,3204,2.0,4.0,3.0,1250.7,406.3,1965.0,,-37.8585,144.7683,Western Metropolitan,970,SE,2.0,56.0,No,Yes,No,,Electric,None,
Essendon,2,u,1304271.0,S,Biggin,3/12/2016,22.1,3144,2.0,1.0,0.0,222.7,,,Moonee Valley,-37.7986,144.8512,Eastern Metropolitan,18264,N,4.0,87.0,No,Yes,Yes,Average,None,Double,
Essendon,4,u,1862033.0,SA,Nelson,1/9/2018,7.0,3205,2.0,2.0,0.0,,592.9,,Yarra,-37.6996,144.9693,Eastern Metropolitan,29512,S,3.0,,Yes,Yes,,,Solar,,
Fitzroy,1,u,930913.0,S,Barry,4/2/2017,29.4,3217,4.0,1.0,,1534.4,572.1,,,,144.9948,Northern Metropolitan,10894,NW,3.0,74.0,No,No,No,Excellent,Electric,,2017.0
Reservoir,2,t,1664474.0,VB,Biggin,7/5/2017,13.7,3210,3.0,2.0,2.0,,,1993.0,Port Phillip,-37.6938,144.9683,Western Metropolitan,21739,W,1.0,,No,No,Yes,Excellent,Gas,Double,
Malvern,1,t,603039.0,PI,Marshall,7/5/2017,11.3,3025,1.0,4.0,,1857.3,,,Darebin,-37.6646,144.9177,Southern Metropolitan,28340,W,1.0,77.0,Yes,Yes,Yes,Good,Gas,Double,2007.0
Camberwell,1,h,1611425.0,S,Barry,4/2/2017,29.7,3002,,4.0,4.0,,186.4,1963.0,Moreland,-37.6585,145.0557,Southern Metropolitan,19516,NE,,,Yes,Yes,No,,Electric,Carport,2012.0
Moonee Ponds,1,h,2540146.0,S,hockingstuart,4/2/2017,3.7,3001,6.0,4.0,,377.5,273.0,1929.0,Darebin,-37.655,144.8022,South-Eastern Metropolitan,3830,SE,1.0,43.0,No,No,No,Poor,Electric,Carport,
Collingwood,5,t,1676420.0,SA,Biggin,4/2/2017,15.1,3091,6.0,1.0,5.0,,143.0,,Yarra,-37.5533,144.8414,South-Eastern Metropolitan,11993,NE,,,No,No,Yes,Poor,Electric,Double,
Reservoir,6,h,1300457.0,SA,Barry,18/6/2016,14.2,3001,2.0,4.0,2.0,,331.3,1862.0,,-37.8074,144.9222,Western Metropolitan,14935,NE,,57.0,No,No,No,Good,Electric,None,
South Yarra,1,t,2255647.0,S,hockingstuart,1/9/2018,11.4,3149,1.0,4.0,4.0,258.8,,1901.0,Darebin,-37.9323,145.0478,South-Eastern Metropolitan,13013,NE,4.0,90.0,Yes,Yes,Yes,Good,Electric,None,2002.0
Moonee Ponds,5,h,2656661.0,S,Marshall,1/9/2018,32.1,3070,5.0,2.0,,116.7,159.2,,Moonee Valley,-37.8105,144.7412,Eastern Metropolitan,13841,S,4.0,,No,,Yes,Excellent,Solar,Carport,
Essendon,4,u,1819720.0,SA,Nelson,7/5/2017,26.8,3003,4.0,4.0,,1419.4,416.8,,Boroondara,,144.7578,Northern Metropolitan,23762,SE,4.0,62.0,Yes,,Yes,Excellent,None,Double,2012.0
Brunswick,2,h,1377787.0,VB,Biggin,7/5/2017,4.1,3037,5.0,4.0,4.0,2384.0,106.0,1914.0,Yarra,-37.9166,145.0912,South-Eastern Metropolitan,3793,SE,1.0,,No,No,No,Excellent,Solar,Double,
South Yarra,6,u,1237626.0,SP,Nelson,7/5/2017,25.6,3102,,4.0,,524.1,74.5,,Yarra,-37.6912,144.8305,Southern Metropolitan,1539,NW,1.0,51.0,Yes,Yes,Yes,Average,None,None,
Richmond,2,u,1190335.0,SP,Marshall,3/12/2016,19.4,3211,3.0,3.0,,,255.5,1973.0,Darebin,-37.7807,145.1817,Eastern Metropolitan,20752,N,2.0,42.0,No,Yes,Yes,Average,None,Carport,2019.0
Fitzroy,6,u,2185657.0,S,Barry,7/5/2017,,3069,2.0,4.0,0.0,1986.9,,,Boroondara,-37.5814,145.1807,Southern Metropolitan,10681,SW,3.0,35.0,Yes,Yes,No,,Electric,Double,2011.0
Richmond,2,u,2232539.0,SA,Barry,4/2/2017,12.3,3200,1.0,1.0,1.0,1029.9,,,,-37.5786,145.043,South-Eastern Metropolitan,3265,S,3.0,,Yes,No,No,,Solar,Double,
Camberwell,6,h,1209820.0,PI,Marshall,7/5/2017,20.9,3051,2.0,2.0,,,,,Moreland,-37.6359,145.0584,South-Eastern Metropolitan,27581,N,,83.0,Yes,No,No,Excellent,Solar,Single,2012.0
South Yarra,2,t,969846.0,PI,Marshall,4/2/2017,18.5,3030,6.0,4.0,1.0,,229.7,2016.0,Yarra,-37.9106,145.0255,Eastern Metropolitan,10955,N,2.0,72.0,Yes,,No,Good,Gas,Single,1993.0
Northcote,2,u,1959813.0,SP,Biggin,18/6/2016,18.2,3153,3.0,1.0,2.0,,,,Moonee Valley,-37.9401,144.7887,Southern Metropolitan,1111,N,4.0,84.0,No,Yes,No,,Solar,Carport,
Northcote,2,h,1338129.0,VB,hockingstuart,3/12/2016,17.1,3035,3.0,2.0,2.0,1523.6,265.9,,Moonee Valley,-37.8954,144.9502,Northern Metropolitan,11275,N,3.0,57.0,Yes,No,No,Poor,Solar,Single,2003.0
St Kilda,2,u,1805929.0,SP,Nelson,3/12/2016,8.8,3153,4.0,2.0,,,,,Moonee Valley,-37.8213,145.0965,Northern Metropolitan,26874,SW,4.0,87.0,No,,,Average,Gas,Single,
Reservoir,4,h,1159210.0,S,Nelson,1/9/2018,26.9,3155,4.0,1.0,4.0,,,1880.0,Port Phillip,-37.8534,145.0873,Eastern Metropolitan,13220,W,1.0,44.0,No,Yes,No,Good,None,,
Essendon,1,h,2202026.0,VB,Barry,18/6/2016,16.9,3132,,1.0,4.0,178.4,,,Port Phillip,-37.8021,145.1494,South-Eastern Metropolitan,23986,NW,,53.0,Yes,No,Yes,Average,,Double,
Essendon,3,h,,PI,Barry,4/2/2017,33.6,3114,3.0,3.0,5.0,89.7,119.4,,Yarra,-37.8928,145.1504,Eastern Metropolitan,7201,N,,,Yes,,Yes,,Electric,Carport,
Collingwood,5,t,2296023.0,SA,Biggin,18/6/2016,10.6,3073,6.0,3.0,3.0,1007.8,,,Yarra,-37.649,144.8307,Southern Metropolitan,29411,S,4.0,94.0,Yes,Yes,No,Excellent,,Carport,2000.0
Collingwood,3,h,805710.0,SA,Marshall,3/12/2016,,3017,3.0,4.0,1.0,268.1,219.9,1898.0,Moonee Valley,-37.6119,145.0609,Northern Metropolitan,4571,N,3.0,55.0,Yes,Yes,Yes,Excellent,,Carport,2005.0
Collingwood,3,h,2344966.0,S,Nelson,4/2/2017,33.0,3014,1.0,3.0,2.0,,,1937.0,Yarra,-37.7548,145.0257,South-Eastern Metropolitan,13603,W,3.0,90.0,No,Yes,Yes,,Solar,Double,2004.0
Brunswick,6,t,,SP,Biggin,18/6/2016,23.9,3184,2.0,1.0,1.0,2992.1,,1945.0,Moonee Valley,-37.5674,145.1429,Southern Metropolitan,25177,S,1.0,30.0,Yes,No,Yes,Average,Gas,,2008.0
Coburg,1,t,,S,Barry,3/12/2016,30.8,3096,4.0,3.0,3.0,,,,Moreland,-37.9019,,Northern Metropolitan,25740,SE,,75.0,Yes,Yes,Yes,Excellent,,Single,1997.0
Preston,6,h,2065419.0,SA,Barry,4/2/2017,29.3,3004,1.0,2.0,,1326.5,377.4,,Moreland,-37.9077,145.0699,Northern Metropolitan,19998,NW,,30.0,Yes,No,No,Good,Solar,,
Coburg,1,t,1710235.0,PI,Nelson,4/2/2017,13.9,3036,2.0,1.0,,125.9,,1946.0,Moreland,-37.8698,144.9117,Western Metropolitan,18474,E,2.0,80.0,No,No,No,Average,,,2007.0
Richmond,1,u,1708316.0,SA,Barry,3/12/2016,21.8,3103,4.0,4.0,5.0,445.3,566.1,1947.0,,-37.5572,144.8972,South-Eastern Metropolitan,8085,,4.0,65.0,Yes,No,No,Good,Solar,,1991.0
Coburg,2,u,1677197.0,VB,Barry,4/2/2017,,3085,6.0,2.0,4.0,1002.6,233.7,,Darebin,-37.7834,144.7179,Eastern Metropolitan,19252,SW,4.0,,Yes,Yes,No,Average,Gas,Carport,2013.0
Brunswick,4,t,1326778.0,SA,hockingstuart,3/12/2016,19.7,3213,1.0,,5.0,,,,,-37.5804,145.1807,Western Metropolitan,14479,SE,3.0,,Yes,Yes,Yes,Good,,Double,
St Kilda,2,t,689358.0,SA,Marshall,7/5/2017,9.6,3149,5.0,2.0,5.0,2822.4,,1923.0,Boroondara,-37.8692,145.0379,Northern Metropolitan,21392,,3.0,95.0,Yes,Yes,No,Good,Electric,None,
Richmond,4,h,987744.0,VB,Barry,7/5/2017,,3179,5.0,1.0,1.0,1217.7,,,Boroondara,-37.6116,144.9954,South-Eastern Metropolitan,26003,NW,,59.0,No,No,Yes,,Solar,,
Coburg,6,t,2368007.0,SP,hockingstuart,4/2/2017,19.4,3014,4.0,1.0,,1514.0,91.9,,Moreland,-37.826,144.8256,South-Eastern Metropolitan,12728,W,3.0,,Yes,Yes,,Poor,None,Carport,
Brunswick,4,h,2824115.0,SA,Biggin,4/2/2017,15.6,3016,1.0,4.0,5.0,,387.2,,Moreland,-37.6562,145.0292,Western Metropolitan,29205,NE,2.0,31.0,No,Yes,,Average,Gas,Carport,2016.0
Preston,6,u,,S,Barry,3/12/2016,10.9,3050,2.0,,1.0,50.4,234.2,,Moreland,-37.5602,145.1728,Southern Metropolitan,18734,,,54.0,Yes,Yes,Yes,Excellent,,Carport,
Coburg,3,t,,SA,Biggin,4/2/2017,35.0,3044,2.0,,5.0,,,,Yarra,,144.7816,Southern Metropolitan,7393,,2.0,48.0,No,No,Yes,Excellent,Electric,None,2002.0
Brunswick,3,h,2570220.0,S,Barry,1/9/2018,,3190,1.0,3.0,,291.1,,,Yarra,-37.6175,145.1919,Eastern Metropolitan,17328,SE,2.0,43.0,Yes,Yes,Yes,,,Carport,
Camberwell,4,h,2313534.0,VB,Nelson,7/5/2017,,3121,5.0,3.0,5.0,2894.5,,,Moreland,-37.9299,144.9137,South-Eastern Metropolitan,29351,W,,,Yes,No,No,,None,Carport,
Collingwood,4,u,2703579.0,SA,hockingstuart,4/2/2017,9.2,3155,1.0,2.0,,,,,Moonee Valley,-37.7069,145.1891,Western Metropolitan,2354,SW,,75.0,Yes,Yes,No,Good,None,Single,
Camberwell,6,t,1183476.0,VB,hockingstuart,4/2/2017,34.0,3186,5.0,1.0,,1834.4,,,Boroondara,,145.0169,Northern Metropolitan,18573,NE,,62.0,Yes,Yes,Yes,Poor,Gas,,1999.0
Essendon,2,u,2470957.0,VB,Nelson,18/6/2016,34.3,3213,5.0,3.0,,2998.3,440.8,,Darebin,-37.7903,144.8621,Southern Metropolitan,17600,,4.0,,No,,No,Good,None,Carport,2013.0
Collingwood,6,h,2178854.0,SP,Marshall,4/2/2017,23.6,3148,6.0,2.0,5.0,458.5,136.1,,Boroondara,-37.6575,144.8872,Western Metropolitan,5887,,,,No,No,Yes,,None,Single,
Essendon,2,h,1059359.0,SA,hockingstuart,1/9/2018,31.0,3169,,1.0,,,102.6,1915.0,Moonee Valley,-37.8948,144.8453,Eastern Metropolitan,24585,N,,56.0,Yes,,Yes,Average,Solar,Single,
Hawthorn,3,t,2462809.0,S,Biggin,7/5/2017,9.1,3208,2.0,1.0,,2352.2,,1926.0,Port Phillip,-37.8793,144.8674,Eastern Metropolitan,9660,SE,2.0,,Yes,No,No,Good,None,None,1991.0
Fitzroy,1,h,2451580.0,S,hockingstuart,18/6/2016,34.1,3196,4.0,1.0,4.0,145.0,,1872.0,Yarra,-37.6925,145.0233,South-Eastern Metropolitan,21291,SE,,67.0,No,No,,Excellent,Electric,,
Camberwell,4,t,2469187.0,SA,Marshall,3/12/2016,6.7,3081,3.0,2.0,4.0,2084.9,,1909.0,Moreland,-37.7752,144.7083,Eastern Metropolitan,4601,SE,2.0,81.0,No,Yes,Yes,Poor,Gas,Single,2001.0
Fitzroy,2,u,1744139.0,SP,Biggin,3/12/2016,5.3,3144,1.0,3.0,,,,1887.0,Yarra,-37.8627,145.1838,Eastern Metropolitan,3095,NW,3.0,95.0,Yes,No,No,Good,,,
Fitzroy,6,t,1529356.0,SP,Biggin,7/5/2017,5.7,3195,5.0,1.0,5.0,,275.7,,Yarra,-37.8369,145.0843,Southern Metropolitan,9329,,,69.0,No,,,Excellent,Solar,Carport,
Preston,3,t,2040146.0,SP,Nelson,3/12/2016,20.9,3134,1.0,2.0,,522.2,,1957.0,Moonee Valley,-37.7024,145.1705,Southern Metropolitan,29629,E,1.0,67.0,No,No,Yes,Good,,None,
Collingwood,2,h,319518.0,S,Barry,1/9/2018,27.8,3088,4.0,1.0,3.0,2726.6,66.5,1955.0,Yarra,-37.6599,145.0588,Eastern Metropolitan,26840,N,2.0,70.0,Yes,,Yes,Excellent,Solar,None,
Hawthorn,6,h,426355.0,VB,Nelson,4/2/2017,14.1,3100,4.0,4.0,1.0,,522.3,1946.0,Yarra,-37.867,144.9405,South-Eastern Metropolitan,22702,SW,3.0,34.0,,Yes,Yes,Poor,Solar,,
Essendon,4,t,2166334.0,SP,Barry,7/5/2017,34.3,3039,3.0,,2.0,169.3,,,Boroondara,-37.5679,144.7949,Southern Metropolitan,3118,NW,2.0,93.0,,Yes,,Average,Gas,Single,
Brunswick,4,h,370243.0,S,Nelson,18/6/2016,16.3,3167,3.0,2.0,,,241.7,,Boroondara,-37.9467,144.9582,Southern Metropolitan,4051,N,2.0,85.0,,Yes,No,Average,Solar,Single,2012.0
Richmond,5,h,,S,Barry,4/2/2017,7.0,3042,5.0,3.0,2.0,1071.2,80.3,,Port Phillip,-37.67,145.0558,Eastern Metropolitan,27191,S,2.0,78.0,,,Yes,Average,None,Double,1993.0
Brunswick,1,h,2097756.0,VB,hockingstuart,3/12/2016,17.4,3072,6.0,3.0,2.0,1246.8,,1940.0,Moonee Valley,-37.8336,145.1271,South-Eastern Metropolitan,24871,S,,88.0,,,No,Poor,,Carport,
Richmond,5,t,2743460.0,SA,Biggin,3/12/2016,24.4,3210,3.0,1.0,,,412.8,,Moreland,-37.7586,144.8621,Eastern Metropolitan,17003,W,1.0,68.0,Yes,Yes,No,Average,Electric,,2005.0
Camberwell,3,h,,SA,Barry,18/6/2016,29.5,3178,6.0,3.0,,,,1933.0,Boroondara,-37.7221,144.9552,Northern Metropolitan,5559,S,2.0,84.0,Yes,Yes,No,Poor,Gas,Single,1993.0
Northcote,2,t,,SP,hockingstuart,1/9/2018,17.1,3200,6.0,3.0,3.0,,419.1,,Port Phillip,-37.7254,145.01,Northern Metropolitan,9539,S,,93.0,No,Yes,Yes,,None,None,
Brunswick,3,h,2739331.0,SP,Marshall,18/6/2016,,3022,5.0,4.0,0.0,,,1883.0,Yarra,-37.6395,144.9943,South-Eastern Metropolitan,17758,SW,1.0,32.0,Yes,Yes,Yes,,None,Double,
Coburg,6,u,2568620.0,VB,Nelson,7/5/2017,10.8,3094,,2.0,,,,,Port Phillip,-37.6205,,Northern Metropolitan,19878,E,1.0,37.0,Yes,No,No,Poor,Electric,,
Coburg,4,h,2427304.0,SP,Marshall,18/6/2016,23.3,3159,6.0,4.0,1.0,1800.7,,1973.0,,-37.9207,144.9417,South-Eastern Metropolitan,28133,,,45.0,No,No,Yes,Good,None,Carport,1997.0
Reservoir,5,h,2810837.0,VB,hockingstuart,3/12/2016,34.5,3158,,,,,291.7,,Darebin,-37.6688,145.1045,Northern Metropolitan,15181,,1.0,,Yes,Yes,No,Poor,Electric,Double,
Collingwood,5,t,2351121.0,S,Marshall,1/9/2018,3.6,3016,3.0,1.0,,971.6,,1972.0,Boroondara,-37.7904,145.1012,Western Metropolitan,6484,,4.0,61.0,,No,Yes,Excellent,Electric,Carport,
Richmond,5,t,1334309.0,SP,Marshall,1/9/2018,,3111,1.0,4.0,4.0,126.3,,,Port Phillip,-37.6226,144.9536,Southern Metropolitan,28392,SE,1.0,37.0,Yes,Yes,No,Average,Gas,Carport,1998.0
Richmond,3,h,2679151.0,S,hockingstuart,18/6/2016,20.6,3102,3.0,,,682.3,,1945.0,Port Phillip,-37.7064,145.1762,Eastern Metropolitan,20535,,4.0,,Yes,No,Yes,,Gas,Double,2015.0
South Yarra,4,u,291743.0,PI,Biggin,7/5/2017,10.3,3057,4.0,3.0,0.0,2063.1,,2004.0,,-37.9459,145.1131,South-Eastern Metropolitan,22669,E,1.0,41.0,Yes,Yes,No,Excellent,Gas,Double,2000.0
St Kilda,2,h,1953057.0,VB,Barry,3/12/2016,33.5,3085,,2.0,,,333.5,,Moreland,-37.6834,145.0687,Northern Metropolitan,10556,N,1.0,,No,Yes,Yes,Excellent,Electric,Double,
Collingwood,6,h,420948.0,PI,Nelson,4/2/2017,18.0,3034,2.0,3.0,2.0,89.5,155.4,1868.0,Yarra,-37.5797,144.9578,Western Metropolitan,1820,SE,,88.0,Yes,No,No,Excellent,Solar,None,
Preston,2,u,1143877.0,SP,Barry,1/9/2018,12.9,3029,5.0,1.0,4.0,,509.4,,Boroondara,-37.9168,144.9953,Northern Metropolitan,10430,E,3.0,,Yes,No,No,Average,Solar,,1999.0
Reservoir,3,t,2367475.0,S,Nelson,18/6/2016,8.0,3191,6.0,3.0,4.0,233.0,599.8,,Moreland,,144.8116,Western Metropolitan,4520,,3.0,59.0,No,,Yes,,Gas,Double,
Preston,6,h,1577148.0,SP,Barry,7/5/2017,10.1,3180,4.0,,,,220.5,1995.0,Moonee Valley,-37.6997,144.9662,Eastern Metropolitan,26009,NE,2.0,73.0,No,Yes,,Excellent,Solar,Single,1994.0
Camberwell,5,t,2906018.0,PI,Marshall,7/5/2017,29.5,3178,5.0,4.0,4.0,1247.4,511.7,1993.0,Moreland,-37.8717,144.963,Southern Metropolitan,3175,SW,,,No,Yes,Yes,Poor,Electric,None,
Camberwell,1,t,751793.0,SP,Biggin,3/12/2016,22.3,3103,5.0,2.0,,2766.5,528.9,1961.0,Moonee Valley,-37.6897,144.8014,Southern Metropolitan,16851,,4.0,54.0,Yes,No,No,Excellent,Electric,None,1997.0
Preston,3,u,576284.0,SA,Marshall,1/9/2018,32.1,3164,6.0,4.0,3.0,287.7,,2008.0,Moonee Valley,-37.9301,145.1756,Western Metropolitan,28752,N,4.0,,No,Yes,No,Average,None,Carport,
Preston,3,u,2080314.0,PI,Biggin,3/12/2016,9.7,3217,3.0,2.0,2.0,,,1952.0,Boroondara,-37.5877,144.8224,Northern Metropolitan,19545,NW,,,Yes,No,No,,None,Carport,2013.0
Hawthorn,4,t,,SP,hockingstuart,4/2/2017,6.0,3121,1.0,2.0,,,463.4,1893.0,Darebin,,144.7521,Southern Metropolitan,10063,SW,3.0,38.0,No,Yes,,Poor,Solar,Double,
Collingwood,2,h,518508.0,S,Nelson,4/2/2017,2.2,3133,,1.0,0.0,2443.2,168.1,,Moonee Valley,,144.9335,Northern Metropolitan,22440,NE,2.0,77.0,No,No,,Excellent,Solar,,
Preston,3,t,641011.0,SP,Nelson,4/2/2017,18.8,3033,6.0,3.0,,,389.9,1898.0,,-37.7826,145.043,South-Eastern Metropolitan,24523,SE,4.0,81.0,Yes,Yes,No,Good,,None,
Coburg,3,h,1727141.0,S,hockingstuart,7/5/2017,34.9,3055,2.0,2.0,,,,1955.0,,-37.9363,144.7976,Northern Metropolitan,14763,SW,3.0,99.0,Yes,Yes,Yes,Average,Electric,,
St Kilda,5,h,1954627.0,SA,Barry,1/9/2018,24.9,3024,2.0,4.0,,2841.3,455.0,1865.0,Port Phillip,-37.8134,144.7914,South-Eastern Metropolitan,17158,N,2.0,93.0,No,Yes,,,Gas,,
St Kilda,5,u,1032259.0,SP,hockingstuart,3/12/2016,12.2,3114,1.0,3.0,5.0,294.1,156.0,,Port Phillip,-37.7437,144.8307,South-Eastern Metropolitan,11369,N,3.0,65.0,Yes,No,Yes,Poor,Gas,Double,2016.0
